,Lat_drive,Lon_drive,Lat_Cell,Lon_Cell,Ant_Dirction,Cell,States
23373,30.576311999999998,31.484196999999998,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23374,30.576378000000002,31.484296999999998,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23375,30.576427000000002,31.484401000000002,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23376,30.576478,31.484506,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23377,30.576528000000003,31.484614,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23378,30.576565000000002,31.484739,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23379,30.5766,31.484865999999997,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23380,30.576638,31.484975,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23381,30.576678,31.485076,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23382,30.576717,31.485178,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23383,30.576749,31.485266999999997,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23384,30.576773,31.485338,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23385,30.576790999999997,31.485387,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23386,30.576809,31.485429999999997,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23387,30.576819,31.485444,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23388,30.576831,31.485459999999996,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23389,30.576843,31.485474,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23390,30.577551,31.487191999999997,30.57741667,31.48541667,115.0,G59616,Nearest
23391,30.577574,31.487240000000003,30.57741667,31.48541667,115.0,G59616,Nearest
23392,30.577614,31.487359,30.57741667,31.48541667,115.0,G59616,Nearest
23393,30.577638,31.487406,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23394,30.577647,31.487427,30.57741667,31.48541667,115.0,G59616,Nearest
23395,30.57765,31.487457,30.57741667,31.48541667,115.0,G59616,Nearest
23396,30.577661,31.487496000000004,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23397,30.577690999999998,31.487534999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23398,30.577726000000002,31.487571999999997,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23399,30.577759999999998,31.487628000000004,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23400,30.577786,31.487686,30.57741667,31.48541667,115.0,G59616,Nearest
23401,30.57783,31.487782,30.57741667,31.48541667,115.0,G59616,Nearest
23402,30.57785,31.487840000000002,30.57741667,31.48541667,115.0,G59616,Nearest
23403,30.577862,31.48788,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23404,30.577904999999998,31.488021000000003,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23405,30.577934000000003,31.488082000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23406,30.57797,31.488126,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23407,30.578017,31.488262,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23408,30.578071,31.488360999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23409,30.578102,31.488437,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23410,30.578146999999998,31.488538000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23411,30.578184999999998,31.488628000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23412,30.57821,31.488709999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23413,30.57824,31.488799,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23414,30.578269,31.488884999999996,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23415,30.578296999999996,31.488970000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23416,30.578336,31.489068,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23417,30.578365,31.489137,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23418,30.578398999999997,31.489219,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23419,30.578415999999997,31.489292,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23420,30.578440000000004,31.489375,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23421,30.578469000000002,31.489440999999996,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23422,30.578501,31.489508,30.57741667,31.48541667,115.0,G59616,Nearest
23423,30.578527,31.489559999999997,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23424,30.578546000000003,31.489613000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23425,30.578559000000002,31.489659999999997,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23426,30.578571000000004,31.489691999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23427,30.578585999999998,31.489717,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23428,30.578592999999998,31.489753000000004,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23429,30.578599,31.489789000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23430,30.578614,31.489822999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23431,30.578636,31.489865,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23432,30.578665,31.489917,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23433,30.578688,31.489978999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23434,30.578709000000003,31.490052000000002,30.57741667,31.48541667,115.0,G59616,Nearest
23435,30.578733000000003,31.490111,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23436,30.578762,31.490173,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23437,30.578783,31.490221999999996,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23438,30.578802000000003,31.490267,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23439,30.578822,31.490315000000002,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23440,30.578853999999996,31.490381,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23441,30.578889,31.490444,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23442,30.578924,31.490513,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23443,30.578947999999997,31.490582,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23444,30.578969,31.490647999999997,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23445,30.579005,31.490714,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23446,30.579029,31.490790999999998,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23447,30.57905,31.49087,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23448,30.579069,31.490917,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23449,30.579081,31.490965999999997,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
23450,30.579101,31.49103,30.48461151,31.40169525,20.0,G46425,serving cell is overshooting
