,index,Cell_ID,Lat_Cell,Lon_Cell,Ant_Dirction,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe,SUM_col,Nearest_per,overshooting_per,Blocked_per,Bad_Coverge_per,Loaded_per,cross_sector_per,back_lobe_per
154,154,G63262,30.57158333,31.50891667,150.0,22,0,0,0,0,0,0,22,100.0,0.0,0.0,0.0,0.0,0.0,0.0
155,155,G63263,30.57158333,31.50891667,270.0,102,0,21,0,0,0,0,123,82.93,0.0,17.07,0.0,0.0,0.0,0.0
156,156,G63265,30.57158333,31.50891667,30.0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
157,157,G63266,30.57158333,31.50891667,150.0,2,0,1,0,1,0,0,4,50.0,0.0,25.0,0.0,25.0,0.0,0.0
158,158,G63267,30.57158333,31.50891667,270.0,46,0,0,1,0,0,0,47,97.87,0.0,0.0,2.13,0.0,0.0,0.0
159,159,G6326A,30.57158333,31.50891667,30.0,68,0,3,0,0,0,0,71,95.77,0.0,4.23,0.0,0.0,0.0,0.0
160,160,G6326B,30.57158333,31.50891667,150.0,12,0,9,0,5,0,0,26,46.15,0.0,34.62,0.0,19.23,0.0,0.0
161,161,G6326C,30.57158333,31.50891667,270.0,17,0,0,0,0,0,0,17,100.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162,G63271,30.59091667,31.51522222,0.0,10,0,0,0,0,0,0,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,G63275,30.59091667,31.51522222,0.0,60,0,0,0,0,0,0,60,100.0,0.0,0.0,0.0,0.0,0.0,0.0
164,164,G63276,30.59091667,31.51522222,140.0,15,0,0,0,0,0,0,15,100.0,0.0,0.0,0.0,0.0,0.0,0.0
165,165,G63277,30.59091667,31.51522222,270.0,34,0,9,0,1,0,0,44,77.27,0.0,20.45,0.0,2.27,0.0,0.0
166,166,G6327A,30.59091667,31.51522222,0.0,62,0,0,0,0,0,0,62,100.0,0.0,0.0,0.0,0.0,0.0,0.0
167,167,G6327C,30.59091667,31.51522222,270.0,34,0,1,0,0,0,0,35,97.14,0.0,2.86,0.0,0.0,0.0,0.0
168,168,GD20141,30.57534155,31.50744934,180.0,109,1,5,0,0,0,0,115,94.78,0.87,4.35,0.0,0.0,0.0,0.0
169,169,GD20142,30.57534155,31.50744934,250.0,155,0,6,2,0,0,0,163,95.09,0.0,3.68,1.23,0.0,0.0,0.0
170,170,GD20143,30.57534155,31.50744934,340.0,201,20,8,8,2,0,0,239,84.1,8.37,3.35,3.35,0.84,0.0,0.0
171,171,GD20145,30.57534155,31.50744934,180.0,82,0,26,0,3,0,0,111,73.87,0.0,23.42,0.0,2.7,0.0,0.0
172,172,GD20146,30.57534155,31.50744934,250.0,173,0,8,1,1,0,0,183,94.54,0.0,4.37,0.55,0.55,0.0,0.0
173,173,GD20147,30.57534155,31.50744934,340.0,179,0,0,1,0,0,0,180,99.44,0.0,0.0,0.56,0.0,0.0,0.0
